Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160616_1231;19;7;2;3;4;2;6;5
160616_1231;19;8;2;6;1;2;5;5
160616_1231;19;9;9;7;1;2;6;2
160616_1231;19;10;9;1;2;2;4;3
160616_1231;19;11;2;3;3;1;4;0
160616_1231;19;12;2;5;6;2;3;4
160616_1231;19;13;9;2;3;2;5;1
160616_1231;19;14;9;6;7;2;5;5
160616_1231;19;15;2;5;5;1;6;0
160616_1231;19;16;2;6;6;1;3;0
160616_1231;19;17;9;3;4;2;2;2
160616_1231;19;18;9;5;6;2;6;1
160616_1231;19;19;2;1;2;2;4;4
160616_1231;19;20;2;4;4;1;6;0
160616_1231;19;21;9;6;6;1;6;0
160616_1231;19;22;9;4;4;1;2;0
160616_1231;19;23;2;2;2;1;4;0
160616_1231;19;24;2;4;5;2;6;6
160616_1231;19;25;9;5;5;1;6;0
160616_1231;19;26;9;7;7;1;5;0
160616_1231;20;1;9;2;2;1;4;0
160616_1231;20;2;9;4;5;2;6;6
160616_1231;20;3;2;1;1;1;4;0
160616_1231;20;4;2;2;3;2;3;6
160616_1231;20;5;9;1;1;1;2;0
160616_1231;20;6;9;3;3;1;4;0
160616_1231;20;7;2;3;4;2;3;2
160616_1231;20;8;2;6;1;2;4;4
160616_1231;20;9;9;7;1;2;2;6
160616_1231;20;10;9;1;2;2;4;2
160616_1231;20;11;2;3;3;1;3;0
160616_1231;20;12;2;5;6;2;5;2
160616_1231;20;13;9;2;3;2;4;2
160616_1231;20;14;9;6;7;2;5;5
160616_1231;20;15;2;5;5;1;6;0
160616_1231;20;16;2;6;6;1;5;0
160616_1231;20;17;9;3;4;2;6;3
160616_1231;20;18;9;5;6;2;3;1
160616_1231;20;19;2;1;2;2;4;4
160616_1231;20;20;2;4;4;1;3;0
160616_1231;20;21;9;6;6;1;3;0
160616_1231;20;22;9;4;4;1;6;0
160616_1231;20;23;2;2;2;1;4;0
160616_1231;20;24;2;4;5;2;6;6
160616_1231;20;25;9;5;5;1;6;0
160616_1231;20;26;9;7;7;1;5;0
